,File_name,QR_name,Label,Location_X,Location_Y,Area,Perimeter,Major_axis,Minor_axis,Orientaion,Eccentricity,Solidity,Median_R,Median_G,Median_B,std_R,std_G,std_B,Mean_R,Mean_G,Mean_B
0,IMG_0007.JPG,b'advanced_22_W1108-404_2',1,734,1437,114278,1732.6286424872453,494,300,0.0071902448346712975,0.7934655680116715,0.8984896492621217,50.0,129.0,127.0,12.025613432950307,19.683670818538097,22.138536903979862,51.4010168275331,127.9228628682937,123.15527183947776
1,IMG_0007.JPG,b'advanced_22_W1108-404_2',2,686,2428,96277,2034.0499987245548,426,298,1.181519698613657,0.7141877071125073,0.8414424177802637,54.0,140.0,134.0,16.572513856760633,17.820495143918247,17.082051652125706,55.882359051061535,139.63692924508703,133.35485479247166
2,IMG_0007.JPG,b'advanced_22_W1108-404_2',3,1009,3077,94285,1615.0722933011411,466,261,0.24955648631446736,0.8276816409106417,0.8997776441734184,58.0,137.0,128.0,10.48952146150441,16.65610287117873,17.31156824774261,58.955135547919056,136.20497645411734,126.35947774808027
3,IMG_0007.JPG,b'advanced_22_W1108-404_2',4,1214,2114,116294,2248.4246737676385,487,317,-0.9968062530663571,0.7591023196162402,0.8263625381937043,51.0,127.0,116.0,11.597433141114621,14.68192913654979,16.956051422307503,51.335686584747144,128.21682302460167,116.10550076100883
4,IMG_0007.JPG,b'advanced_22_W1108-404_2',5,1484,1187,109181,1764.2510088513313,461,308,0.48514548862181345,0.7440077080869673,0.8983724451173354,49.0,120.0,114.0,9.675989867460101,14.345204395675072,15.315158145698073,49.64644623557428,119.32952921780546,111.7964920315076
5,IMG_0007.JPG,b'advanced_22_W1108-404_2',6,1808,2375,125926,2080.3931444750624,506,328,-1.395005393463599,0.7610847289444403,0.856109483245066,46.0,125.0,122.0,10.532127494847748,17.86303993947683,21.698561479308033,47.47654556283502,122.84419297200715,117.24130236251737
6,IMG_0007.JPG,b'advanced_22_W1108-404_2',7,2043,3163,86800,1598.8712831743646,383,294,-0.7218972262415912,0.6410458658516589,0.857902487719541,55.0,126.0,118.0,7.928155642900003,12.739429524357417,14.349420572691683,54.268344105346834,124.9237779237088,115.48077742831138
7,IMG_0007.JPG,b'advanced_22_W1108-404_2',8,2332,1342,92335,1540.302740679441,460,260,1.1967284364201731,0.8249128250830748,0.9135928285906518,53.0,119.0,118.0,8.80341594981906,15.377625177218265,18.299712339657678,52.21370242814131,117.40848441527498,114.83136222843156
8,IMG_0007.JPG,b'advanced_22_W1108-404_2',9,2407,1947,115830,1914.275395468971,477,318,0.8506256683176697,0.7449312983195523,0.8613176680547293,52.0,115.0,102.0,7.804273586910005,14.479662265645446,17.143145934468976,52.130891227585494,113.71856788887067,103.17993766673285
9,IMG_0007.JPG,b'advanced_22_W1108-404_2',10,2502,2627,76387,1336.4377336282355,427,232,-1.15581085032649,0.8400697265309529,0.9283561410758124,52.0,120.0,112.0,9.12748474208068,13.874330151110374,15.233174598568874,52.27421255203833,119.23211059618255,109.95694237163879
0,IMG_0008.JPG,b'advanced_22_W1106-052_1',1,658,2935,54919,1201.3006486383879,348,208,1.345079943130721,0.8029662686158983,0.8813126855492257,58.0,142.0,146.0,14.113498388109416,19.460356860252695,19.97180031397495,60.868640518591356,140.50513492843876,143.00624567537056
1,IMG_0008.JPG,b'advanced_22_W1106-052_1',2,771,1168,57232,1017.9036790187179,334,220,-0.5637862597910366,0.7520094596168903,0.9572649572649573,61.0,145.0,142.0,13.09686637238477,14.171259660107955,12.201198303836911,62.073509112194444,144.77099823522218,140.96367353357445
