"genotype","rep","image","avg_cone_weight_adj","SE","df","lower.CL","upper.CL"
"2014009-034","2","17",0.135671653881696,0.0223571885365068,152.90829533958,0.0950976676390387,0.183435380248601
"2014009-041","2","17",0.114981797474326,0.0293722440642945,141.320774910175,0.0642468236395663,0.180378370420944
"2014009-046","2","17",0.143263068099428,0.0229741659313883,152.908295341902,0.101470181463582,0.192245694859518
"2014010-010","2","17",0.109457392701131,0.0200814551239793,152.908295226375,0.0733793448416698,0.152725180684925
"W1406-001","2","17",0.133029946474863,0.022138456464762,152.908295370028,0.0928880872606852,0.180361545813265
"W1411-017","2","17",0.162827449792901,0.0244926874257085,152.908295353115,0.118034572457497,0.214810067252542
"W1425-006","2","17",0.244887518954784,0.0300369585484833,152.908295307482,0.189141380920284,0.307823397113555
"2014001-005","1","18",0.323327984479542,0.0345139191247478,152.908296933574,0.258737164210648,0.395108544871488
"2014005-019","1","18",0.11367857818982,0.0204650092908663,152.908295437232,0.0768427808107087,0.157704115693106
"2014005-024","1","18",0.133132481678963,0.0221469866264868,152.908295361092,0.0929737702793122,0.180480933202844
"2014006-046","1","18",0.0955063883708022,0.018758099739289,152.908295375543,0.0620427610918459,0.136159755773979
"2014007-001","1","18",0.171988538306701,0.0251722700566437,152.908295378787,0.125853077688846,0.225313739048773
"2014008-016","1","18",0.159342292363151,0.0242291489614832,152.908295346227,0.11507006155438,0.210804263296164
"2014009-010","1","18",0.110698842047518,0.020195014466034,152.908295289195,0.0743964463792641,0.154190977840057
"2014009-012","1","18",0.184533829628352,0.0260741780585392,152.90829542745,0.136616559778616,0.239640839602269
"2014009-034","1","18",0.113630491623351,0.0204606804360543,152.90829540101,0.0768032463287041,0.1576474770422
"2014009-041","1","18",0.122347066167294,0.0297493053459356,166.340149816541,0.0706613588601404,0.188131138956527
"2014009-046","1","18",0.159424180882008,0.0242353740328187,152.908295352135,0.115139651823814,0.21089845006444
"2014010-010","1","18",0.127628198788346,0.0216843270906343,152.908295308242,0.0883835174565421,0.17406262024442
"W1406-001","1","18",0.128700422281458,0.0217752232115596,152.908295394174,0.089276166595139,0.175314418091984
"W1411-017","1","18",0.1617838101757,0.0244140685263478,152.908295394838,0.117146252319085,0.21361110815652
"W1425-006","1","18",0.213871491106091,0.0280704308262627,152.90829545618,0.162010424767829,0.272922297568512
"2014001-005","2","18",0.326316235671893,0.0346730440059394,152.90829660006,0.261411048324882,0.398411163142206
"2014005-019","2","18",0.11545325764372,0.0206241341720579,152.908295415651,0.078303093187496,0.159793162224135
"2014005-024","2","18",0.1350524535565,0.0223061115076784,152.908295339541,0.0945793750797316,0.182715272157515
"2014006-046","2","18",0.0971336217084996,0.0189172246204807,152.90829535396,0.0633556273524334,0.138101356188802
"2014007-001","2","18",0.174169839961071,0.0253313949378353,152.908295357213,0.127720012266093,0.227809407780284
"2014008-016","2","18",0.16144212541102,0.0243882738426749,152.908295324684,0.116855527525127,0.213218463421172
"2014009-010","2","18",0.112450198831345,0.0203541393472257,152.908295267641,0.0758334360859763,0.156256701701014
"2014009-012","2","18",0.186793039823294,0.0262333029397309,152.908295405935,0.138561402896433,0.242214416874353
"2014009-034","2","18",0.115404797142482,0.0206198053172459,152.908295379428,0.0782631847707214,0.15973614963846
"2014009-041","2","18",0.124187908969985,0.0305254615174605,141.320774947863,0.0711731480288654,0.191864269022895
"2014009-046","2","18",0.161524551663462,0.0243944989140104,152.908295330528,0.116925655528145,0.213313187923033
"2014010-010","2","18",0.129508205249073,0.0218434519718259,152.908295286651,0.0899491568401519,0.176256993782281
"W1406-001","2","18",0.130588280523199,0.0219343480927513,152.908295372452,0.0908496577597628,0.177516643410857
"W1411-017","2","18",0.163899616929747,0.0245731934075395,152.908295373109,0.118947691996011,0.216041281987706
