"genotype","rep","image","openness","SE","df","asymp.LCL","asymp.UCL"
"2014009-046","2","15",3.54209122500611,0.108018487809943,Inf,3.3335424141705,3.75696710571444
"2014010-010","2","15",3.39565516874898,0.105762087099875,Inf,3.19152882203979,3.60610858533087
"W1406-001","2","15",3.06545842113429,0.100488401320631,Inf,2.87166830861821,3.26557560352309
"W1411-017","2","15",3.89757349091138,0.11330925354126,Inf,3.67865496979175,4.12281908190373
"W1425-006","2","15",3.77403918965675,0.111499116185036,Inf,3.55866847256238,3.99573697662382
"2014001-005","1","16",3.82212545438606,0.112207191180342,Inf,3.60536693580255,4.04521104284229
"2014005-019","1","16",3.16816092505888,0.103456599801409,Inf,2.96863419741051,3.37417661655797
"2014005-024","1","16",3.75948451857285,0.111283909011995,Inf,3.54453559978687,3.98076050723155
"2014006-046","1","16",3.60798674823598,0.109018622191208,Inf,3.39747771003339,3.82482285631128
"2014007-001","1","16",3.34553494522567,0.103784678985393,Inf,3.14521269537664,3.55204116129348
"2014008-016","1","16",3.87716839093262,0.113012258406151,Inf,3.65883196958138,4.10183188215657
"2014009-010","1","16",3.91561502390509,0.113571200161369,Inf,3.69618309684417,4.14137402083872
"2014009-012","1","16",3.29897035455297,0.10424552684322,Inf,3.09781641132721,3.50645136765144
"2014009-034","1","16",3.56239634454406,0.108327654601444,Inf,3.35324157793189,3.77787818102894
"2014009-041","1","16",3.61153373735885,0.110458750110707,Inf,3.3982830428432,3.83127338683179
"2014009-046","1","16",3.32129079668144,0.104597588779812,Inf,3.11944682473963,3.52946183849595
"2014010-010","1","16",3.15436040409192,0.101935129353233,Inf,2.95773475673651,3.35731312132005
"W1406-001","1","16",3.16574940768533,0.103417169745728,Inf,2.96629995848949,3.37168781465887
"W1411-017","1","16",3.52978233036524,0.107830640405083,Inf,3.32160169367774,3.74429003692545
"W1425-006","1","16",3.69389522538925,0.11030888849447,Inf,3.4808573117018,3.91326020894941
"2014001-005","2","16",3.89187310356038,0.113226363125321,Inf,3.67311704467065,4.11695623232282
"2014005-019","2","16",3.23169018873007,0.104481848694064,Inf,3.0301535829456,3.43971490390266
"2014005-024","2","16",3.82866085296698,0.112303080957009,Inf,3.61171439387471,4.05193438193196
"2014006-046","2","16",3.67576135314097,0.110037794136222,Inf,3.4632547746321,3.89459500152255
"2014007-001","2","16",3.41080967240233,0.104785901828787,Inf,3.20852468668268,3.61927787402663
"2014008-016","2","16",3.94741420504608,0.114031430351165,Inf,3.72708024338857,4.17407523657631
"2014009-010","2","16",3.98620670377551,0.114590372106383,Inf,3.76477723640831,4.21396324101542
"2014009-012","2","16",3.36379143125908,0.105264698788233,Inf,3.16063994772705,3.57326998466383
"2014009-034","2","16",3.62974338785388,0.109346826546457,Inf,3.41859108093543,3.84722276464504
"2014009-041","2","16",3.67934149351542,0.111483652576595,Inf,3.46408160655933,3.90108949438953
"2014009-046","2","16",3.38632972465212,0.105616760724825,Inf,3.18248821240404,3.59649830677292
"2014010-010","2","16",3.21775183742413,0.102954301298247,Inf,3.01912864976244,3.42270209495854
"W1406-001","2","16",3.22925460841679,0.10444249452281,Inf,3.02779513693727,3.43720219237773
"W1411-017","2","16",3.59682182787152,0.108849812350097,Inf,3.38664365087774,3.81332707473801
"W1425-006","2","16",3.76246822999777,0.111328060439484,Inf,3.54743277600403,3.98383075386421
"2014001-005","1","17",4.06481399554454,0.115714707188315,Inf,3.8411808719102,4.29477418905159
"2014005-019","1","17",3.28368846458868,0.104003797199424,Inf,3.08300830275876,3.49069569629131
"2014005-024","1","17",3.97710479424865,0.1144594723141,Inf,3.75593188575991,4.2046047726101
"2014006-046","1","17",3.71537011103191,0.110629070533667,Inf,3.50170465207913,3.93536263985739
"2014007-001","1","17",3.54904639467297,0.108124487122405,Inf,3.34028982900255,3.7641300302161
"2014008-016","1","17",3.87977192185698,0.11305019608415,Inf,3.66136114402321,4.10450976956346
"2014009-010","1","17",3.67876904386158,0.11008280412821,Inf,3.46617424738946,3.8976909102064
"2014009-012","1","17",3.41714685826421,0.106096252467148,Inf,3.21236555947029,3.62825522693085
"2014009-034","1","17",3.65525874012296,0.1097304813299,Inf,3.44335448364647,3.87349006647217
"2014009-041","1","17",3.57125472752861,0.107222159203918,Inf,3.36419476540979,3.78449790617838
"2014009-046","1","17",3.41889381836055,0.107472456782404,Inf,3.21149615246674,3.63278044171384
"2014010-010","1","17",3.18645220737513,0.102452350504782,Inf,2.98881282519064,3.39041865943233
"W1406-001","1","17",3.13974482980117,0.101698699451404,Inf,2.94358257653821,3.34223415293684
"W1411-017","1","17",3.66893845653785,0.109935621397219,Inf,3.45663213291763,3.88757185003078
"W1425-006","1","17",3.56434698268506,0.108357308676417,Inf,3.35513409515395,3.77988694008888
"2014001-005","2","17",4.13673204918017,0.116733879133293,Inf,3.91110138523962,4.36868978299343
"2014005-019","2","17",3.34835996219205,0.105022969144437,Inf,3.14568226005585,3.55736473420097
"2014005-024","2","17",4.04824612516522,0.115478644259113,Inf,3.8250756763702,4.27774364383295
"2014006-046","2","17",3.78414124004662,0.111648242478681,Inf,3.56847824078757,4.00613130917839
"2014007-001","2","17",3.61626772063698,0.109143659067419,Inf,3.40551361466028,3.8333488964864
"2014008-016","2","17",3.95004121130325,0.114069368029163,Inf,3.7296328931632,4.17677659931601
"2014009-010","2","17",3.74720215045793,0.111101976073224,Inf,3.53260981367953,3.96812155710903
"2014009-012","2","17",3.48311313948022,0.107115424412162,Inf,3.27633430038001,3.69621904845313
"2014009-034","2","17",3.72347383403697,0.110749653274913,Inf,3.50957203725419,3.94370270069245
"2014009-041","2","17",3.63868506083437,0.108236229544295,Inf,3.42963793164642,3.85391615510488
"2014009-046","2","17",3.48487687891776,0.108497521406286,Inf,3.27546970087133,3.7007721696077
"2014010-010","2","17",3.25016369030718,0.103471522449796,Inf,3.05052676781641,3.45612768267067
"W1406-001","2","17",3.20298996344079,0.102717871396418,Inf,3.00483016987155,3.40747682688274
"W1411-017","2","17",3.73728048840917,0.110954793342232,Inf,3.52297662448266,3.95791142220838
"W1425-006","2","17",3.63171237554382,0.10937648062143,Inf,3.42050194770643,3.84924987325392
"2014001-005","1","18",3.91975119722144,0.113631168541578,Inf,3.70020173429511,4.14562773002049
"2014005-019","1","18",3.24466220204933,0.103383913253367,Inf,3.04519699042827,3.4504544835431
"2014005-024","1","18",3.85390436799731,0.11138444742558,Inf,3.63868647020589,4.07530548098995
"2014006-046","1","18",3.65126078429008,0.109670455806182,Inf,3.43947417567823,3.86937446277465
"2014007-001","1","18",3.18424521096816,0.102416864151835,Inf,2.98667538075739,3.38814211105165
"2014008-016","1","18",3.97419362783713,0.115864565221002,Inf,3.75034730965217,4.20452805948729
"2014009-010","1","18",3.76065125889026,0.111301175920592,Inf,3.5456684975853,3.98196109006793
"2014009-012","1","18",3.43822757164217,0.106423008376827,Inf,3.23280584303354,3.64997637012351
"2014009-034","1","18",3.69127093792638,0.110269697660865,Inf,3.47830983686132,3.91055910886415
"2014009-041","1","18",3.92677794764486,0.113732973516195,Inf,3.70702895063482,4.1528540145276
"2014009-046","1","18",3.52306297557852,0.107727957377052,Inf,3.31508359392778,3.73736942710196
"2014010-010","1","18",3.21755858888466,0.102951209688313,Inf,3.01894146066709,3.42250278697494
"W1406-001","1","18",3.13079302584081,0.102837916890027,Inf,2.93247846873195,3.3355956954311
"W1411-017","1","18",3.84992707272355,0.112614541658387,Inf,3.63237016187398,4.07381105344583
"W1425-006","1","18",3.52980651426472,0.10920178668953,Inf,3.31901942289445,3.74708256081225
"2014001-005","2","18",3.99037998473144,0.114650340486556,Inf,3.76883298149889,4.2182540578367
"2014005-019","2","18",3.30895012367501,0.10440308519838,Inf,3.10748737174768,3.51673994547506
"2014005-024","2","18",3.92394006584947,0.112398803606735,Inf,3.70673444262236,4.14732965657154
"2014006-046","2","18",3.71943873520483,0.110689627751196,Inf,3.5056545862867,3.93954995399568
"2014007-001","2","18",3.2479347354149,0.103436036096849,Inf,3.04836736489785,3.45382917580467
"2014008-016","2","18",4.04530903235183,0.116904214573645,Inf,3.81942546006968,4.27768156048025
"2014009-010","2","18",3.82983827781879,0.112320347865606,Inf,3.61285797620755,4.05314564930274
"2014009-012","2","18",3.50439604508838,0.107442180321841,Inf,3.29697677617347,3.718142383876
"2014009-034","2","18",3.759819691766,0.111288869605879,Inf,3.54486105039466,3.98110540301006
