"genotype","rep","image","length","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","2","17",4.17594803229409,0.306895113577477,Inf,3.59610479233249,4.79911153161886
"2014005-019","2","17",2.73288802635615,0.248269488689866,Inf,2.2679488997454,3.24114741233002
"2014005-024","2","17",3.20907499777117,0.26903102378982,Inf,2.70344401010075,3.75802624480472
"2014006-046","2","17",2.84996522500894,0.253531666601403,Inf,2.37471241921133,3.36853829016966
"2014007-001","2","17",2.96851401927113,0.258750967902871,Inf,2.48303157089818,3.49731672700719
"2014008-016","2","17",3.37694495710299,0.275977973817501,Inf,2.85769819757591,3.93951197599319
"2014009-010","2","17",3.00149040403664,0.260184194320912,Inf,2.51319888350264,3.53310218393376
"2014009-012","2","17",4.94310674142977,0.333896929432881,Inf,4.31034091487438,5.61919282734829
"2014009-034","2","17",3.28311585990221,0.272116912942618,Inf,2.77143664063202,3.83811533853552
"2014009-041","2","17",2.88002491243711,0.253271189509924,Inf,2.40501253921292,3.39781735873506
"2014009-046","2","17",3.57571963742149,0.286072713608188,Inf,3.03700731622699,4.15839174749037
"2014010-010","2","17",3.01340346348139,0.260700024765138,Inf,2.52410093385458,3.54602625247132
"W1406-001","2","17",3.27446387469489,0.271758121971329,Inf,2.76348787280641,3.8287601359465
"W1411-017","2","17",3.30984652872011,0.273222436118773,Inf,2.79600052384058,3.86701279296276
"W1425-006","2","17",4.55330428653933,0.32046143120663,Inf,3.94687155262174,5.20305727982005
"2014001-005","1","18",3.830248207102,0.293917801092213,Inf,3.27584003222764,4.42797664133953
"2014005-019","1","18",2.99105631139357,0.25973156094763,Inf,2.50365193596941,3.52178094618086
"2014005-024","1","18",3.28423276168093,0.270452036240148,Inf,2.77554513150818,3.83569763266061
"2014006-046","1","18",2.78492055959585,0.250621795227577,Inf,2.31537099689059,3.29779038166424
"2014007-001","1","18",3.31993999793854,0.273638718710172,Inf,2.80527809417248,3.87792216106773
"2014008-016","1","18",3.48040094188364,0.282234013383783,Inf,2.94921233557917,4.05554933846799
"2014009-010","1","18",2.63966360478094,0.24399825652198,Inf,2.18309593938885,3.13955152953614
"2014009-012","1","18",4.17056286989188,0.306697168922827,Inf,3.59110759432431,4.79333840482258
"2014009-034","1","18",3.31086481806842,0.273264461949642,Inf,2.79693644407397,3.868113451426
"2014009-041","1","18",3.34003932142331,0.27446578996516,Inf,2.82375638778482,3.89964251442492
"2014009-046","1","18",3.13080237089435,0.265729798307901,Inf,2.63164166627334,3.67328333487849
"2014010-010","1","18",3.55442748066894,0.28313741313887,Inf,3.02114847792248,4.13102674277852
"W1406-001","1","18",2.64629871161293,0.246101430023076,Inf,2.18592866653889,3.15062854531696
"W1411-017","1","18",2.68971015948649,0.246300431428925,Inf,2.22863031419068,3.19411026414543
"W1425-006","1","18",3.90627552715477,0.299014807509068,Inf,3.34219884364468,4.51431535076858
"2014001-005","2","18",3.9062698575585,0.296820267466734,Inf,3.34617295312374,4.50968702135643
"2014005-019","2","18",3.05827915731384,0.262634027322193,Inf,2.56518605232919,3.59469252166161
"2014005-024","2","18",3.35465524353839,0.273345311322933,Inf,2.84029831589346,3.91179224696513
"2014006-046","2","18",2.84979874732607,0.25352426160214,Inf,2.37456045506032,3.36835729895493
"2014007-001","2","18",3.39074224780292,0.276541185084735,Inf,2.87039161447638,3.95441314049259
"2014008-016","2","18",3.5528851065589,0.285168693050985,Inf,3.01594630915067,4.13378704494724
"2014009-010","2","18",2.70283703579727,0.246900722896542,Inf,2.2405806408447,3.20841369011295
"2014009-012","2","18",4.24987365536776,0.30959963529739,Inf,3.6647296502397,4.87833791985894
"2014009-034","2","18",3.38157074227463,0.276166928324205,Inf,2.8619536387197,3.94450810519269
