"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"2014007-001","2","13",10.8017731041831,0.91691156567431,Inf,9.07940685002768,12.6736341414874
"2014008-016","2","13",11.8986311148534,0.962339752073493,Inf,10.0872272514726,13.8595297613831
"2014009-010","2","13",11.5945166801177,0.949962037778558,Inf,9.80737269096597,13.5311554524185
"2014009-012","2","13",13.9516650453889,1.04206052912682,Inf,11.9840113301641,16.0688135437627
"2014009-034","2","13",11.604414901422,0.950367441849224,Inf,9.81647633489256,13.5418482511004
"2014009-041","2","13",12.0467364948362,0.968310477294111,Inf,10.2236302250614,14.0193375477599
"2014009-046","2","13",11.5808833581648,0.94319582268029,Inf,9.80602665056228,13.5032863362063
"2014010-010","2","13",10.8252226296383,0.917906285909416,Inf,9.1009067596474,12.6990332827782
"W1406-001","2","13",9.46919464518517,0.865118167777467,Inf,7.84949982792022,11.2407007303504
"W1411-017","2","13",11.1366569143894,0.931016431464867,Inf,9.38664563127773,13.03616298065
"W1425-006","2","13",15.9379372911887,1.09933866650415,Inf,13.8560958494996,18.1654242358204
"2014001-005","1","14",16.0341540644,1.12574995626199,Inf,13.9036303292241,18.3164890689662
"2014005-019","1","14",8.69716364013856,0.829068489977885,Inf,7.1481188382506,10.3980076003979
"2014005-024","1","14",12.3276758606899,0.966843206334621,Inf,10.5055207490482,14.2954764752743
"2014006-046","1","14",10.3170380019274,0.890242904766964,Inf,8.64596709985646,12.1356551615276
"2014007-001","1","14",10.9167262760012,0.921777570106114,Inf,9.18482282841082,12.7981245067405
"2014008-016","1","14",12.6902419780423,0.987304086679799,Inf,10.8289295514495,14.6990904548127
"2014009-010","1","14",10.6166961722536,0.909022472997983,Inf,8.90979225561452,12.4730948720417
"2014009-012","1","14",13.2401788045183,1.01514212674827,Inf,11.3252841884768,15.3045682037088
"2014009-034","1","14",11.2726745366288,0.936684663969564,Inf,9.5115537219519,13.1832901344546
"2014009-041","1","14",12.3974916501037,0.989848083259719,Inf,10.5333246518619,14.413457838572
"2014009-046","1","14",12.04454437865,0.961858449621686,Inf,10.2331044820142,14.0035203209823
"2014010-010","1","14",10.4294758139654,0.90097173416546,Inf,8.73835105548697,12.2700953555928
"W1406-001","1","14",9.42778970764206,0.85661341023679,Inf,7.8236056664784,11.1814685319547
"W1411-017","1","14",11.5852347503582,0.949581718074162,Inf,9.79883617412963,13.5211281097357
"W1425-006","1","14",16.1212123629427,1.12015668498854,Inf,14.0004929948979,18.3914265141365
"2014001-005","2","14",16.5765186498337,1.14458561194453,Inf,14.409071662993,18.895764816261
"2014005-019","2","14",9.09779732411949,0.847982872194955,Inf,7.51168708339299,10.8357188614109
"2014005-024","2","14",12.8037953200229,0.985337038472144,Inf,10.9453929634554,14.807843179533
"2014006-046","2","14",10.7529870613468,0.908825603345032,Inf,9.0454896386477,12.608020540216
"2014007-001","2","14",11.3650371389523,0.940514196208904,Inf,9.59641057900874,13.2831584820449
"2014008-016","2","14",13.1732463669137,1.00595238316059,Inf,11.2753890582144,15.2186499405284
"2014009-010","2","14",11.0588659474386,0.927759099100773,Inf,9.31523891844628,12.95198775958
"2014009-012","2","14",13.7334411038818,1.03387875285106,Inf,11.781823375487,15.8345536154255
"2014009-034","2","14",11.728162590861,0.955421290072354,Inf,9.9303186638309,13.6755013010401
"2014009-041","2","14",12.8749446644215,1.0087686540629,Inf,10.9737000616062,14.9280005229986
"2014009-046","2","14",12.5152166243956,0.980505898207809,Inf,10.6672335124987,14.5107460067315
"2014010-010","2","14",10.8677694686212,0.919708360268251,Inf,9.13992159778951,12.7451121226018
"W1406-001","2","14",9.84472653858287,0.87535003633958,Inf,8.20381938506596,11.6351284752488
"W1411-017","2","14",12.0469322391804,0.968318344176953,Inf,10.2238105505986,14.0195487109112
"W1425-006","2","14",16.6650351255791,1.13889331109133,Inf,14.507592645181,18.9719723891261
"2014001-005","1","15",15.9660246266204,1.11475216117337,Inf,13.8558979306068,18.2256461057828
"2014005-019","1","15",9.15673703764302,0.844209620005868,Inf,7.57686397860376,10.8861048798313
"2014005-024","1","15",14.7882629296652,1.07284876935042,Inf,12.7602653724547,16.9657552700246
"2014006-046","1","15",9.86998893644692,0.876472427740492,Inf,8.22688193620766,11.6625907198352
"2014007-001","1","15",9.50581492319884,0.860150810264119,Inf,7.89469770538271,11.2664269241639
"2014008-016","1","15",11.7519443837263,0.956389477725567,Inf,9.95220284376562,13.701180706836
"2014009-010","1","15",12.0444444505825,0.968218356243562,Inf,10.2215187347491,14.016864949565
"2014009-012","1","15",13.9411931912256,1.0348585371099,Inf,11.9866808609038,16.0432517845622
"2014009-034","1","15",13.3681662475266,1.02003681024617,Inf,11.4436782281134,15.4421490500887
"2014009-041","1","15",9.52351375441605,0.850470125673446,Inf,7.92956148440659,11.263343116901
"2014009-046","1","15",11.6715566102876,0.953112830674002,Inf,9.87823718053799,13.6143708231861
"2014010-010","1","15",9.65081343113284,0.866686208165711,Inf,8.02688706880495,11.4242345766097
"W1406-001","1","15",8.96127303170291,0.835150567156919,Inf,7.39915538998164,10.6728854565732
"W1411-017","1","15",11.8255779270677,0.959380998855879,Inf,10.0199731134326,13.7806775238518
"W1425-006","1","15",15.7569571453231,1.10742953654415,Inf,13.6611825298552,18.00222654394
"2014001-005","2","15",16.5072453192921,1.13348878727619,Inf,14.3603955109252,18.8035899108078
"2014005-019","2","15",9.56770192154216,0.862946246108658,Inf,7.95110575014964,11.3337928760837
"2014005-024","2","15",15.3093087538349,1.09158539545321,Inf,13.2445880842712,17.5235242065476
"2014006-046","2","15",10.2964871190894,0.895209053843282,Inf,8.6166570064969,12.1258120148309
"2014007-001","2","15",9.92445487594639,0.878887436366909,Inf,8.276614545777,11.7217899892648
"2014008-016","2","15",12.2169195464977,0.975126103828357,Inf,10.3804548941837,14.2028789819606
"2014009-010","2","15",12.5151147625588,0.986954982346352,Inf,10.6554659343721,14.5242583738945
"2014009-012","2","15",14.4472273410102,1.05343620110835,Inf,12.456298352687,16.5856923810531
"2014009-034","2","15",13.8637851483877,1.03877343634896,Inf,11.9025740166213,15.9744910633031
"2014009-041","2","15",9.94253906071301,0.868922190029425,Inf,8.31241193048399,11.7185243261347
"2014009-046","2","15",12.1349541937624,0.971849456776792,Inf,10.3049116516596,14.1144915190143
"2014010-010","2","15",10.0725999261419,0.885422834268501,Inf,8.41195045146076,11.882744183972
"W1406-001","2","15",9.36787633072723,0.85388719325971,Inf,7.7690355766527,11.1162118679507
"W1411-017","2","15",12.2919933919912,0.978117624958669,Inf,10.4496654660029,14.2838161011286
"W1425-006","2","15",16.294652276398,1.12616616264694,Inf,14.1621545485768,18.5766447873682
"2014001-005","1","16",14.7777149045535,1.0724660856485,Inf,12.7504673936162,16.9544571986397
"2014005-019","1","16",9.26776830530534,0.85586750061132,Inf,7.66620447685128,11.0211434303243
"2014005-024","1","16",11.8399121001579,0.959962271441986,Inf,10.0331680131888,13.7961509702759
"2014006-046","1","16",11.3954837941963,0.941773160800159,Inf,9.62438970899605,13.3160726625456
"2014007-001","1","16",8.42086952861126,0.804284107533545,Inf,6.91827477736489,10.0710105455723
"2014008-016","1","16",12.0761987145993,0.969493833242495,Inf,10.2507731097848,14.0511191025627
"2014009-010","1","16",9.83928500418981,0.875108084178866,Inf,8.19885206819387,11.6292127233347
"2014009-012","1","16",14.4052054052845,1.05886270811966,Inf,12.4046200243719,16.555285569346
"2014009-034","1","16",12.9950673957834,1.00570172187372,Inf,11.0986756332955,15.0409539414203
"2014009-041","1","16",9.9470885595278,0.886679944493427,Inf,8.28513343038767,11.7608549444299
"2014009-046","1","16",12.0658155998322,0.96907695825268,Inf,10.2412070549838,14.0399189278296
"2014010-010","1","16",9.66269103625124,0.867219375199531,Inf,8.03771968573931,11.4371571699121
"W1406-001","1","16",7.77956407897205,0.784145296346183,Inf,6.3185731734372,9.39236625240721
"W1411-017","1","16",12.049023855973,0.968402401386089,Inf,10.2257374182886,14.0218050768063
"W1425-006","1","16",13.0149010606906,1.00646890319079,Inf,11.1170056504516,15.0622912540786
"2014001-005","2","16",15.2985764812668,1.09120271175132,Inf,13.2346058579762,17.5120418877063
"2014005-019","2","16",9.68119002320607,0.874713765108012,Inf,8.04268212599864,11.4714970787849
"2014005-024","2","16",12.3066074254334,0.978698897544776,Inf,10.4631402261111,14.2995694079047
"2014006-046","2","16",11.8534217635778,0.960509786902949,Inf,10.0456045660242,13.8107337442803
"2014007-001","2","16",8.81516034998848,0.822869736933978,Inf,7.2761333263946,10.5017234231117
"2014008-016","2","16",12.5474831196027,0.988230459345286,Inf,10.6853344024349,14.5591266199194
"2014009-010","2","16",10.2651263079796,0.893844710281656,Inf,8.58797025963036,12.0917771394777
